Number of edges, Number of vertices, Number of algocomparisons, Number of fixingcomparisons, graph creating time, algorithm time
5,4,8,2,0.000157,0.000012
5,20,38,6,0.000013,0.000003
5,9,52,8,0.000006,0.000003
10,9,70,16,0.000006,0.000003
10,90,205,33,0.000045,0.000006
10,47,274,40,0.000025,0.000005
15,14,302,59,0.000041,0.00001
15,210,617,106,0.000125,0.000013
15,104,780,134,0.000059,0.000008
20,19,818,163,0.000016,0.00001
20,380,1388,205,0.000212,0.000014
20,183,1662,232,0.000048,0.000009
25,24,1710,276,0.000009,0.000004
25,600,2610,334,0.000096,0.000007
25,308,3083,381,0.000052,0.000006
30,29,3141,435,0.00001,0.000004
30,870,4446,511,0.00014,0.00001
30,431,5088,588,0.000073,0.000007
35,34,5156,659,0.000011,0.000004
35,1190,6941,770,0.000194,0.000013
35,575,7798,857,0.000093,0.000009
40,39,7876,938,0.000007,0.000006
40,1560,10216,1071,0.000253,0.000015
40,790,11400,1176,0.000129,0.000013
45,44,11488,1278,0.000008,0.000006
45,1980,14458,1426,0.000319,0.000018
45,982,15927,1539,0.000161,0.000014
50,49,16025,1651,0.000008,0.000005
50,2450,19700,1811,0.000406,0.000022
50,1266,21609,1936,0.000201,0.000021
200,199,22007,2733,0.000035,0.000015
200,39800,81707,3431,0.00675,0.00022
200,19739,111318,4129,0.003312,0.000162
300,299,171434,6839,0.000057,0.000022
300,89700,305984,7885,0.015116,0.000516
300,44849,373236,8898,0.007927,0.000398
400,399,508969,13103,0.000072,0.00003
400,159600,748369,14690,0.026734,0.000814
400,79606,867818,16117,0.01358,0.000596
500,499,1108202,21577,0.000088,0.000039
500,249500,1482452,23566,0.041991,0.001386
500,124621,1669374,25501,0.021127,0.000847
600,599,2421168,37055,0.000107,0.000048
600,359400,2960268,39582,0.061476,0.001868
600,179405,3229531,41820,0.030808,0.001203
700,699,3230929,45661,0.000131,0.000057
700,489300,3964879,48443,0.08316,0.00273
700,244528,4331385,51053,0.041993,0.001802
800,799,4332983,55566,0.000146,0.000064
800,639200,5291783,58744,0.108102,0.003468
800,318790,5769915,61833,0.055556,0.002798
900,899,5771713,67012,0.000178,0.000074
900,809100,6985363,70756,0.138228,0.004839
900,404554,7592257,74139,0.069122,0.002843
1000,999,7594255,79988,0.000187,0.000082
1000,999000,9092755,84130,0.169603,0.00504
1000,499081,9841322,87897,0.086604,0.003476